contract,time_completed,side,quantity,avg_price,realized_pnl,epoch_sec,profit,loss,wr,profit_long,loss_long,wr_long,profit_short,loss_short,wr_short,realized_pnl_sum,px_side,px_side_sum,total_profit,avg_pnl_profit,total_loss,avg_pnl_loss,avg_pnl_rr,avg_pnl_ewr,total_px_profit,avg_px_profit,total_px_loss,avg_px_loss,avg_px_rr,avg_px_ewr
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-17 17:24:32.000,SLD,1,13796.0,,1650234272.0,0,0,,0,0,,0,0,,,,,,,,,,,0.0,,0.0,,,
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 00:51:38.000,BOT,1,13786.25,18.36,1650261098.0,1,0,1.0,0,0,,1,0,1.0,18.36,9.18,9.18,18.36,18.36,,,,,9.18,9.18,0.0,,,
"542601595,MNQ,FOP,20220429,13700,P,2,GLOBEX,,USD,MQEJ2 P1370,MQE,False,,combo:",2022-04-18 01:08:15.000,BOT,1,270.0,,1650262095.0,0,0,,0,0,,0,0,,,,,,,,,,,0.0,,0.0,,,
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 03:02:32.000,SLD,1,13816.25,,1650268952.0,1,0,1.0,0,0,,1,0,1.0,,,,18.36,18.36,,,,,0.0,9.18,0.0,,,
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 06:16:24.999,BOT,1,13863.0,-94.64,1650280584.999,1,1,0.5,0,0,,1,1,0.5,-76.28,-47.32,-38.14,18.36,18.36,-94.64,-94.64,0.19399830938292476,0.8375221238938053,0.0,9.18,-47.32,-47.32,0.19399830938292476,0.8375221238938053
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 06:16:25.000,BOT,2,13863.0,,1650280585.0,1,1,0.5,0,0,,1,1,0.5,,,,18.36,18.36,-94.64,-94.64,0.19399830938292476,0.8375221238938053,0.0,9.18,0.0,-47.32,0.19399830938292476,0.8375221238938053
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 06:23:20.000,BOT,1,13858.0,,1650281000.0,1,1,0.5,0,0,,1,1,0.5,,,,18.36,18.36,-94.64,-94.64,0.19399830938292476,0.8375221238938053,0.0,9.18,0.0,-47.32,0.19399830938292476,0.8375221238938053
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 07:13:39.999,SLD,3,13817.0,-269.42,1650284019.999,1,2,0.3333333333333333,0,1,0.0,1,1,0.5,-345.70000000000005,-44.903333333333336,-83.04333333333334,18.36,18.36,-364.06,-182.03,0.10086249519310003,0.9083786616098607,0.0,9.18,-92.22333333333333,-46.111666666666665,0.19908193877182204,0.8339713639788997
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 07:13:40.000,SLD,1,13817.0,,1650284020.0,1,2,0.3333333333333333,0,1,0.0,1,1,0.5,,,,18.36,18.36,-364.06,-182.03,0.10086249519310003,0.9083786616098607,0.0,9.18,0.0,-46.111666666666665,0.19908193877182204,0.8339713639788997
"497954503,MYM,FUT,20220617,0,,0.5,ECBOT,,USD,MYM  JUN 22,MYM,False,,combo:",2022-04-18 08:21:57.000,BOT,3,34340.0,,1650288117.0,0,0,,0,0,,0,0,,,,,,,,,,,0.0,,0.0,,,
