date,open,high,low,close,epoch_sec,volume,date,market_date,ema_120,ema_120_trend,ema_120_trend_change,amplitude_hl,amplitude_hl_ema10,amplitude_oc_ema10,diff,diff_sma,diff_sma_trend,local_min,local_max,vwap
2021-12-21 17:00:00,15980.25,15995.0,15954.25,15960.0,1640127600,8628,2021-12-21 17:00:00,2021-12-22,,,,40.75,,,-20.25,,,,15995.0,
2021-12-21 18:00:00,15960.25,15969.75,15939.75,15944.0,1640131200,10153,2021-12-21 18:00:00,2021-12-22,,,,30.0,,,-16.25,,,,,
2021-12-21 19:00:00,15943.5,15967.25,15940.5,15944.25,1640134800,10248,2021-12-21 19:00:00,2021-12-22,,,,26.75,,,0.75,,,,,
2021-12-21 20:00:00,15943.75,15951.75,15922.75,15929.75,1640138400,8608,2021-12-21 20:00:00,2021-12-22,,,,29.0,,,-14.0,,,,,
2021-12-21 21:00:00,15929.5,15940.5,15921.25,15932.25,1640142000,7112,2021-12-21 21:00:00,2021-12-22,,,,19.25,,,2.75,,,,,
2021-12-21 22:00:00,15933.0,15940.0,15927.0,15934.0,1640145600,4105,2021-12-21 22:00:00,2021-12-22,,,,13.0,,,1.0,,,,,
2021-12-21 23:00:00,15934.25,15948.75,15925.5,15944.75,1640149200,8999,2021-12-21 23:00:00,2021-12-22,,,,23.25,,,10.5,,,,,
2021-12-22 00:00:00,15945.25,15976.5,15937.25,15956.75,1640152800,10621,2021-12-22 00:00:00,2021-12-22,,,,39.25,,,11.5,,,,,
2021-12-22 01:00:00,15956.0,15972.25,15942.5,15944.0,1640156400,8190,2021-12-22 01:00:00,2021-12-22,,,,29.75,,,-12.0,,,,,
2021-12-22 02:00:00,15943.25,15950.0,15882.25,15908.25,1640160000,20976,2021-12-22 02:00:00,2021-12-22,,,,67.75,31.875,12.4,-35.0,,,15882.25,,
2021-12-22 03:00:00,15907.75,15934.5,15903.0,15917.75,1640163600,11421,2021-12-22 03:00:00,2021-12-22,,,,31.5,31.806818181818183,11.963636363636365,10.0,,,,,
2021-12-22 04:00:00,15917.5,15963.5,15912.75,15960.25,1640167200,11330,2021-12-22 04:00:00,2021-12-22,,,,50.75,35.25103305785124,17.56115702479339,42.75,,,,,
2021-12-22 05:00:00,15960.0,15984.75,15946.5,15980.0,1640170800,12683,2021-12-22 05:00:00,2021-12-22,,,,38.25,35.79629977460556,18.004583020285498,20.0,,,,,
