time,open,high,low,close,Plot,MA #1,MA #2,MA #3,BB Basis,BB #1 Upper,BB #1 Lower,BB #2 Upper,BB #2 Lower,Volume,Volume MA
2022-01-16T17:00:00-06:00,15616.75,15653.25,15616,15630,15633.083333333334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,660,NaN
2022-01-16T17:01:00-06:00,15631.75,15640.25,15629,15636.5,15633.68544857768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,254,NaN
2022-01-16T17:02:00-06:00,15638,15638,15621,15624.25,15632.677338782925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,187,NaN
2022-01-16T17:03:00-06:00,15624,15627.25,15616.25,15620.25,15630.995546088303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,190,NaN
2022-01-16T17:04:00-06:00,15620.25,15620.25,15602.5,15612.25,15626.73525563607,15624.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,365,NaN
2022-01-16T17:05:00-06:00,15610.5,15610.5,15597,15598,15623.640622245724,15615.766666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,235,NaN
2022-01-16T17:06:00-06:00,15598.75,15600.5,15595,15596,15622.41238023197,15609.177777777777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN
2022-01-16T17:07:00-06:00,15597.25,15602.75,15594,15594.25,15620.581071595692,15604.20185185185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,154,NaN
2022-01-16T17:08:00-06:00,15593,15597.75,15567.5,15586.5,15613.07626225034,15598.3012345679,NaN,NaN,NaN,NaN,NaN,NaN,NaN,550,NaN
2022-01-16T17:09:00-06:00,15586.5,15588.75,15578.75,15580.25,15611.052582812137,15592.2841563786,15607.825,NaN,NaN,NaN,NaN,NaN,NaN,191,NaN
2022-01-16T17:10:00-06:00,15582,15590.25,15579.75,15590,15609.512586805555,15591.522770919068,15604.584090909091,NaN,NaN,NaN,NaN,NaN,NaN,194,NaN
