date,open,high,low,close,epoch_sec,volume,date,market_date,ema_120,ema_120_trend,ema_120_trend_change,amplitude_hl,amplitude_hl_ema10,amplitude_oc_ema10,diff,diff_sma,diff_sma_trend,local_min,local_max,price_times_volume,vwap
2022-03-09 17:00:00,13774.25,13780.0,13750.0,13758.0,1646866800,1755,2022-03-09 17:00:00,2022-03-10,,,,30.0,,,-16.25,,,,13780.0,24145290.0,13758.0
2022-03-09 17:05:00,13757.75,13765.75,13751.75,13760.0,1646867100,964,2022-03-09 17:05:00,2022-03-10,,,,14.0,,,2.25,,,,,13264640.0,13758.70908422214
2022-03-09 17:10:00,13759.75,13776.25,13758.25,13759.0,1646867400,1412,2022-03-09 17:10:00,2022-03-10,,,,18.0,,,-0.75,,,,,19427708.0,13758.80852093924
2022-03-09 17:15:00,13759.75,13764.0,13745.25,13745.75,1646867700,1355,2022-03-09 17:15:00,2022-03-10,,,,18.75,,,-14.0,,,,,18625491.25,13755.583166241342
2022-03-09 17:20:00,13746.25,13750.0,13731.25,13733.0,1646868000,1587,2022-03-09 17:20:00,2022-03-10,,,,18.75,,,-13.25,9.3,,,,21794271.0,13750.516082284745
2022-03-09 17:25:00,13732.0,13738.0,13729.0,13736.75,1646868300,1089,2022-03-09 17:25:00,2022-03-10,,,,9.0,,,4.75,7.0,-2.3000000000000007,,,14959320.75,13748.67936780201
2022-03-09 17:30:00,13737.0,13741.5,13736.25,13738.5,1646868600,757,2022-03-09 17:30:00,2022-03-10,,,,5.25,,,1.5,6.85,-0.15000000000000036,,,10400044.5,13747.815394102478
2022-03-09 17:35:00,13737.5,13740.5,13727.25,13735.75,1646868900,1050,2022-03-09 17:35:00,2022-03-10,,,,13.25,,,-1.75,7.05,0.20000000000000018,13727.25,,14422537.5,13746.544588223493
2022-03-09 17:40:00,13734.75,13735.75,13729.75,13731.75,1646869200,532,2022-03-09 17:40:00,2022-03-10,,,,6.0,,,-3.0,4.85,-2.2,,,7305291.0,13745.795067136463
2022-03-09 17:45:00,13731.75,13737.0,13730.25,13735.0,1646869500,578,2022-03-09 17:45:00,2022-03-10,,,,6.75,13.975,6.075,3.25,2.85,-1.9999999999999996,,,7938830.0,13745.231880133586
2022-03-09 17:50:00,13735.25,13739.75,13728.0,13738.5,1646869800,823,2022-03-09 17:50:00,2022-03-10,,,,11.75,13.570454545454545,5.5613636363636365,3.25,2.55,-0.30000000000000027,,,11306785.5,13744.766383801041
2022-03-09 17:55:00,13739.0,13748.0,13738.25,13747.5,1646870100,1159,2022-03-09 17:55:00,2022-03-10,,,,9.75,12.87582644628099,6.095661157024794,8.5,3.95,1.4000000000000004,,,15933352.5,13745.008957966465
2022-03-09 18:00:00,13747.25,13756.25,13734.0,13742.25,1646870400,2083,2022-03-09 18:00:00,2022-03-10,,,,22.25,14.580221637866265,5.8964500375657405,-5.0,4.6,0.6499999999999995,,,28625106.75,13744.629473718964
2022-03-09 18:05:00,13743.0,13744.75,13731.0,13739.75,1646870700,1411,2022-03-09 18:05:00,2022-03-10,,,,13.75,14.429272249163308,5.4152773034628785,-3.25,4.65,0.05000000000000071,,,19386787.25,13744.213591060103
2022-03-09 18:10:00,13739.0,13744.25,13736.25,13737.75,1646871000,809,2022-03-09 18:10:00,2022-03-10,,,,8.0,13.260313658406343,4.657954157378719,-1.25,4.25,-0.40000000000000036,,,11113839.75,13743.912448168625
2022-03-09 18:15:00,13738.0,13740.25,13731.25,13736.25,1646871300,1131,2022-03-09 18:15:00,2022-03-10,,,,9.0,12.485711175059736,4.129235219673498,-1.75,3.95,-0.2999999999999998,,,15535698.75,13743.443876723439
2022-03-09 18:20:00,13735.75,13749.0,13733.25,13745.75,1646871600,1206,2022-03-09 18:20:00,2022-03-10,,,,15.75,13.079218234139784,5.19664699791468,10.0,4.25,0.2999999999999998,,,16577374.5,13743.585046444343
2022-03-09 18:25:00,13746.25,13750.0,13744.0,13744.25,1646871900,1056,2022-03-09 18:25:00,2022-03-10,,,,6.0,11.792087646114368,4.615438452839284,-2.0,3.65,-0.6000000000000001,,,14513928.0,13743.618875560052
2022-03-09 18:30:00,13744.0,13755.0,13737.25,13752.5,1646872200,1543,2022-03-09 18:30:00,2022-03-10,,,,17.75,12.875344437729938,5.321722370504869,8.5,4.7,1.0500000000000003,,,21220107.5,13744.233385650225
